,z,Omega
0,1.0,0.005109734462453409
1,1.0099999999999998,0.005141681352907171
2,1.0199999999999996,0.005173644896484261
3,1.0299999999999994,0.0052056231069203904
4,1.0399999999999991,0.005237613982253562
5,1.049999999999999,0.005269615505070528
6,1.0599999999999987,0.00530162564275986
7,1.0699999999999985,0.005333642347771603
8,1.0799999999999983,0.005365663557883512
9,1.089999999999998,0.005397687196473808
10,1.0999999999999979,0.0054297111728004
11,1.1099999999999977,0.005461733382286621
12,1.1199999999999974,0.005493751706813357
13,1.1299999999999972,0.00552576401501759
14,1.139999999999997,0.005557768162597176
15,1.1499999999999968,0.005589761992622072
16,1.1599999999999966,0.00562174333585159
17,1.1699999999999964,0.005653710011057973
18,1.1799999999999962,0.005685659825356036
19,1.189999999999996,0.005717590574538769
20,1.1999999999999957,0.005749500043419027
21,1.2099999999999955,0.005781386006177076
22,1.2199999999999953,0.005813246226713848
23,1.229999999999995,0.005845078459010177
24,1.2399999999999949,0.005876880447491427
25,1.2499999999999947,0.005908649927397857
26,1.2599999999999945,0.005940384625160407
27,1.2699999999999942,0.005972082258781843
28,1.279999999999994,0.006003740538223225
29,1.2899999999999938,0.006035357165795546
30,1.2999999999999936,0.006066929836556369
31,1.3099999999999934,0.006098456238711551
32,1.3199999999999932,0.006129934054021704
33,1.329999999999993,0.006161360958213438
34,1.3399999999999928,0.006192734621395213
35,1.3499999999999925,0.006224052708477669
36,1.3599999999999923,0.006255312879598307
37,1.3699999999999921,0.006286512790550407
38,1.379999999999992,0.006317650093216078
39,1.3899999999999917,0.006348722436003149
40,1.3999999999999915,0.00637972746428604
41,1.4099999999999913,0.006410662820850191
42,1.419999999999991,0.006441526146340027
43,1.4299999999999908,0.006472315079710383
44,1.4399999999999906,0.006503027258681045
45,1.4499999999999904,0.006533660320194469
46,1.4599999999999902,0.006564211900876299
47,1.46999999999999,0.006594679637498764
48,1.4799999999999898,0.006625061167446572
49,1.4899999999999896,0.006655354129185256
50,1.4999999999999893,0.006685556162731807
51,1.5099999999999891,0.006715664910127329
52,1.519999999999989,0.0067456780159116944
53,1.5299999999999887,0.006775593127599861
54,1.5399999999999885,0.006805407896159777
55,1.5499999999999883,0.006835119976491725
56,1.559999999999988,0.006864727027908772
57,1.5699999999999878,0.0068942267146183105
58,1.5799999999999876,0.00692361670620445
59,1.5899999999999874,0.006952894678111018
60,1.5999999999999872,0.006982058312124988
61,1.609999999999987,0.007011105296860366
